순번,목록명(서비스명),오퍼레이션명(상세 서비스명),API 호출 URL,
74,행정안전부_문화_관광궤도업 조회서비스,문화_관광궤도업 데이터 이력조회,http://apis.data.go.kr/1741000/tourist_railways/history,
75,행정안전부_문화_관광사업자 조회서비스,문화_관광사업자 데이터 이력조회,http://apis.data.go.kr/1741000/tourism_businesses/history,
76,행정안전부_문화_관광유람선업 조회서비스,문화_관광유람선업 데이터 이력조회,http://apis.data.go.kr/1741000/tourist_cruises/history,
77,행정안전부_문화_국제회의시설업 조회서비스,문화_국제회의시설업 데이터 이력조회,http://apis.data.go.kr/1741000/international_convention_facilities/history,
78,행정안전부_문화_박물관 및 미술관 조회서비스,문화_박물관 및 미술관 데이터 이력조회,http://apis.data.go.kr/1741000/museums_and_art_galleries/history,
79,행정안전부_문화_시내순환관광업 조회서비스,문화_시내순환관광업 데이터 이력조회,http://apis.data.go.kr/1741000/city_tour_businesses/history,
80,행정안전부_문화_테마파크업(기타) 조회서비스,문화_테마파크업(기타) 데이터 이력조회,http://apis.data.go.kr/1741000/amusement_facilities_other/history,
81,행정안전부_문화_일반테마파크업 조회서비스,문화_일반테마파크업 데이터 이력조회,http://apis.data.go.kr/1741000/general_amusement_facilities/history,
82,행정안전부_문화_전문휴양업 조회서비스,문화_전문휴양업 데이터 이력조회,http://apis.data.go.kr/1741000/special_resorts/history,
83,행정안전부_문화_전통사찰 조회서비스,문화_전통사찰 데이터 이력조회,http://apis.data.go.kr/1741000/traditional_temples/history,
84,행정안전부_문화_종합테마파크업 조회서비스,문화_종합테마파크업 데이터 이력조회,http://apis.data.go.kr/1741000/comprehensive_amusement_facilities/history,
85,행정안전부_문화_종합휴양업 조회서비스,문화_종합휴양업 데이터 이력조회,http://apis.data.go.kr/1741000/comprehensive_resorts/history,
86,행정안전부_문화_지방문화원 조회서비스,문화_지방문화원 데이터 이력조회,http://apis.data.go.kr/1741000/local_culture_centers/history,
87,행정안전부_문화_국제회의기획업 조회서비스,문화_국제회의기획업 데이터 이력조회,http://apis.data.go.kr/1741000/international_convention_planners/history,
88,행정안전부_문화_대중문화예술기획업 조회서비스,문화_대중문화예술기획업 데이터 이력조회,http://apis.data.go.kr/1741000/pop_culture_art_planners/history,
