순번,목록명(서비스명),오퍼레이션명(상세 서비스명),API 호출 URL,
36,행정안전부_식품_식용얼음판매업 조회서비스,식품_식용얼음판매업 데이터 조회,http://apis.data.go.kr/1741000/edible_ice_retailers/info,
37,행정안전부_식품_식육포장처리업 조회서비스,식품_식육포장처리업 데이터 조회,http://apis.data.go.kr/1741000/meat_packers/info,
38,행정안전부_식품_식품냉동냉장업 조회서비스,식품_식품냉동냉장업 데이터 조회,http://apis.data.go.kr/1741000/food_freezing_refrigeration/info,
39,행정안전부_식품_식품소분업 조회서비스,식품_식품소분업 데이터 조회,http://apis.data.go.kr/1741000/food_repackagers/info,
40,행정안전부_식품_식품운반업 조회서비스,식품_식품운반업 데이터 조회,http://apis.data.go.kr/1741000/food_transporters/info,
41,행정안전부_식품_식품자동판매기업 조회서비스,식품_식품자동판매기업 데이터 조회,http://apis.data.go.kr/1741000/food_vending_machines/info,
42,행정안전부_식품_식품제조가공업 조회서비스,식품_식품제조가공업 데이터 조회,http://apis.data.go.kr/1741000/food_manufacturing_processors/info,
43,행정안전부_식품_식품첨가물제조업 조회서비스,식품_식품첨가물제조업 데이터 조회,http://apis.data.go.kr/1741000/food_additive_manufacturers/info,
44,행정안전부_식품_식품판매업(기타) 조회서비스,식품_식품판매업(기타) 데이터 조회,http://apis.data.go.kr/1741000/other_food_retailers/info,
45,행정안전부_식품_옹기류제조업 조회서비스,식품_옹기류제조업 데이터 조회,http://apis.data.go.kr/1741000/onggi_manufacturers/info,
46,행정안전부_식품_용기및포장지제조업 조회서비스,식품_용기및포장지제조업 데이터 조회,http://apis.data.go.kr/1741000/container_packaging_manufacturers/info,
47,행정안전부_식품_용기냉동기특정설비 조회서비스,식품_용기냉동기특정설비 데이터 조회,http://apis.data.go.kr/1741000/container_refrigeration_equipment/info,
48,행정안전부_식품_유통전문판매업 조회서비스,식품_유통전문판매업 데이터 조회,http://apis.data.go.kr/1741000/distribution_specialty_retailers/info,
49,행정안전부_식품_제과점영업 조회서비스,식품_제과점영업 데이터 조회,http://apis.data.go.kr/1741000/bakeries/info,
50,행정안전부_식품_즉석판매제조가공업 조회서비스,식품_즉석판매제조가공업 데이터 조회,http://apis.data.go.kr/1741000/instant_food_processors/info,
51,행정안전부_식품_집단급식소식품판매업,식품_집단급식소식품판매업 데이터 조회,http://apis.data.go.kr/1741000/group_meal_food_retailers/info,
52,행정안전부_식품_집유업 조회서비스,식품_집유업 데이터 조회,http://apis.data.go.kr/1741000/milk_collection/info,
53,행정안전부_식품_축산가공업 조회서비스,식품_축산가공업 데이터 조회,http://apis.data.go.kr/1741000/livestock_processing/info,
54,행정안전부_식품_축산물보관업 조회서비스,식품_축산물보관업 데이터 조회,http://apis.data.go.kr/1741000/livestock_storage/info,
55,행정안전부_식품_축산물운반업 조회서비스,식품_축산물운반업 데이터 조회,http://apis.data.go.kr/1741000/livestock_transport/info,
56,행정안전부_식품_축산판매업 조회서비스,식품_축산판매업 데이터 조회,http://apis.data.go.kr/1741000/livestock_retail/info,
57,행정안전부_식품_단란주점영업 조회서비스,식품_단란주점영업 데이터 조회,http://apis.data.go.kr/1741000/singing_bars/info,
58,행정안전부_식품_유흥주점영업 조회서비스,식품_유흥주점영업 데이터 조회,http://apis.data.go.kr/1741000/entertainment_bars/info,
59,행정안전부_식품_관광식당 조회서비스,식품_관광식당 데이터 조회,http://apis.data.go.kr/1741000/tourist_restaurants/info,
60,행정안전부_식품_관광유흥음식점업 조회서비스,식품_관광유흥음식점업 데이터 조회,http://apis.data.go.kr/1741000/tourist_entertainment_restaurants/info,
61,행정안전부_식품_외국인전용유흥음식점업 조회서비스,식품_외국인전용유흥음식점업 데이터 조회,http://apis.data.go.kr/1741000/foreigners_entertainment_restaurants/info,
62,행정안전부_식품_일반음식점 조회서비스,식품_일반음식점 데이터 조회,http://apis.data.go.kr/1741000/general_restaurants/info,
63,행정안전부_식품_휴게음식점 조회서비스,식품_휴게음식점 데이터 조회,http://apis.data.go.kr/1741000/rest_cafes/info,
64,행정안전부_문화_게임물배급업 조회서비스,문화_게임물배급업 데이터 조회,http://apis.data.go.kr/1741000/game_distributors/info,
65,행정안전부_문화_게임물제작업 조회서비스,문화_게임물제작업 데이터 조회,http://apis.data.go.kr/1741000/game_producers/info,
66,행정안전부_문화_복합영상물제공업 조회서비스,문화_복합영상물제공업 데이터 조회,http://apis.data.go.kr/1741000/mixed_video_content_providers/info,
67,행정안전부_문화_복합유통게임제공업 조회서비스,문화_복합유통게임제공업 데이터 조회,http://apis.data.go.kr/1741000/mixed_game_providers/info,
68,행정안전부_문화_인터넷컴퓨터게임시설제공업 조회서비스,문화_인터넷컴퓨터게임시설제공업 데이터 조회,http://apis.data.go.kr/1741000/pc_bangs/info,
69,행정안전부_문화_일반게임제공업 조회서비스,문화_일반게임제공업 데이터 조회,http://apis.data.go.kr/1741000/general_game_providers/info,
70,행정안전부_문화_청소년게임제공업 조회서비스,문화_청소년게임제공업 데이터 조회,http://apis.data.go.kr/1741000/youth_game_providers/info,
